Algorithm;ScenarioName;RunIndex;MapWidth;MapHeight;ObstacleDensity;MapType;AllowDiagonal;Start;Goal;LinearDistance;WeightW;TimeLimitMs;MaxExpansions;TieBreakLowG;Found;PathCost;PathLength;Expansions;ElapsedMs;AllocBytes
Dijkstra;0_100x100_dens0,10_corner_NoDiag;0;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;15;4799184
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;0;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;200.0;201;238;0;200408
Dijkstra;0_100x100_dens0,10_corner_NoDiag;1;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8995;7;4798600
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;1;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;547;0;295472
Dijkstra;0_100x100_dens0,10_corner_NoDiag;2;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;7;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;2;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;212.0;213;316;0;219752
Dijkstra;0_100x100_dens0,10_corner_NoDiag;3;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8996;7;4798848
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;3;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;202.0;203;277;0;210080
Dijkstra;0_100x100_dens0,10_corner_NoDiag;4;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;7;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;4;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;442;0;269432
Dijkstra;0_100x100_dens0,10_corner_NoDiag;5;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8996;7;4798848
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;5;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;263;0;206608
Dijkstra;0_100x100_dens0,10_corner_NoDiag;6;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;7;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;6;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;212.0;213;491;0;281584
Dijkstra;0_100x100_dens0,10_corner_NoDiag;7;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;6;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;7;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;210.0;211;268;0;207848
Dijkstra;0_100x100_dens0,10_corner_NoDiag;8;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;7;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;8;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;280;0;210824
Dijkstra;0_100x100_dens0,10_corner_NoDiag;9;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8996;6;4798848
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;9;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;250;0;203384
Dijkstra;0_100x100_dens0,10_corner_NoDiag;10;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;7;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;10;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;234;0;187104
Dijkstra;0_100x100_dens0,10_corner_NoDiag;11;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8995;9;4798600
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;11;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;202.0;203;274;0;209336
Dijkstra;0_100x100_dens0,10_corner_NoDiag;12;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;6;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;12;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;204.0;205;341;0;225952
Dijkstra;0_100x100_dens0,10_corner_NoDiag;13;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8997;7;4799096
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;13;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;337;0;224960
Dijkstra;0_100x100_dens0,10_corner_NoDiag;14;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;7;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;14;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;268;0;207848
Dijkstra;0_100x100_dens0,10_corner_NoDiag;15;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8999;7;4799592
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;15;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;208.0;209;349;0;227936
Dijkstra;0_100x100_dens0,10_corner_NoDiag;16;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;10;4799344
WeightedAStar;0_100x100_dens0,10_corner_NoDiag;16;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;206.0;207;241;0;201152
Dijkstra;0_100x100_dens0,10_corner_NoDiag;17;100;100;0.1;Random;0;0,0;99,99;140.0071426749364;1.2;0;0;1;1;198.0;199;8998;7;4799344
